张莉	北京天健中宇恒业工程咨询公司	图 8 ： 现场 损毁 后 的 挖机 图 9 ： 自卸车 正在 运输 燃烧 中 的 煤矸石 图 10 ： 大 粒径 石块 剥离 图 11 ： 机械 坡面 修复 本次 调研 由 住房 和 城乡 建设部 标准 定额 研究所 副研究员 董宇 、 中国 建设 工程 造价 管理 协会 主任 舒宇 、 中国 煤炭 建设 协会 秘书长 单益新 、 煤炭 工业 西安 工程 造价 管理站 副站长 杨振义 、 内蒙古 自治区 建设 工程 标准 定额 总站 站长 庞天 、 定额 科 科长 刘 银龙 、 山西省 工程 建设 标准 定额 站 总 工程师 	张莉 	、 工程师 王洋 、 中国 有色 金属 工业 工程 建设 定额 站 技术 总监 林发 、 乌海市 建设 工程 标准 定额 管理 站站 长白 继 凡 、 副站长 祝少 冬 、 	北京 天健中宇恒业 工程 咨询 公司 	副总经理 沙兵 等 同志 组成 专家 组 ， 对 乌海 矿区 生态 环境 综合 治理 项目 及 矿区 现状 进行 调研 ； 

利亚德	美的集团	另 据 证券 时报 ， 上周 兆易 创新 （ 603986 ） 、 	利亚德 	（ 300296 ） 、 	美的 集团 	（ 000333 ） 等 获得 超过 50 家 机构 扎堆 调研 

中国企业改革体制研究会	李锦	作为 中国 国有 企业 改革 调查 第一 人 ， 被 胡耀邦 、 邓小平 、 胡锦涛 等 国家 领导人 批示 国企 改革 调研 有 思考 的 	中国 企业 改革 体制 研究会 	副会长 	李锦 	指出 ： 国企 改革 ， 政府 改革 在先 ， 企业 改革 在后 ， 是 相辅相成 的 

中交集团	王海怀	国资委 产权 管理局 局长 贾立克 、 国际 合作局 局长 殷长波 、 规划 发展局 副局长 孟华强 、 中广 核 办公厅 主任 胡光耀 、 铀业 公司 总经理 安军靖 、 斯科 公司 总经理 蔡于胜 、 	中 交 集团 	副总经理 	王海怀 	等一同 参加 调研 和 座谈 

春辉机械制造有限公司	鲁泰	调研组 先后 对 济宁市 中山 公用 水 务 有限 公司 、 济宁 落陵 	春辉 机械 制造 有限 公司 	、 	鲁泰 	控股 凯本 金威 特种 化学品 （ 济宁 ） 有限 公司 进行 了 调研 ， 听取 了 混合 所有制 改革 工作 情况 汇报 、 召开 了 座谈会 ， 对 生产 车间 进行 了 实地 走访 ， 了解 了 基层 干部 群众 的 反映 ， 在 推进 混合 所有制 过程 中 采取 的 措施 ， 取得 的 成效 ， 遇到 的 困难 ， 需要 提请 市 经济 体制 改革 专项 小组 解决 的 问题 等 

李成	粤海控股集团	为 认真 落实 省委 省政府 关于 打好 污染 防治 攻坚战 的 要求 ， 近日 ， 省 国资委 主任 、 党委 书记 	李成 	， 副主任 、 党委 委员 黄敦新 等 一行 调研 广业 集团 、 建工 集团 、 	粤海 控股 集团 	在 揭阳 、 汕头 地区 的 环保 基础 设施 建设 情况 ， 重点 调研 了 广业 集团 普宁 垃圾 焚烧 发电 项目 、 练 江 流域 整治 环保 工程 项目 

