张莉	北京天健中宇恒业工程咨询公司	图 8 ： 现场 损毁 后 的 挖机 图 9 ： 自卸车 正在 运输 燃烧 中 的 煤矸石 图 10 ： 大 粒径 石块 剥离 图 11 ： 机械 坡面 修复 本次 调研 由 住房 和 城乡 建设部 标准 定额 研究所 副研究员 董宇 、 中国 建设 工程 造价 管理 协会 主任 舒宇 、 中国 煤炭 建设 协会 秘书长 单益新 、 煤炭 工业 西安 工程 造价 管理站 副站长 杨振义 、 内蒙古 自治区 建设 工程 标准 定额 总站 站长 庞天 、 定额 科 科长 刘 银龙 、 山西省 工程 建设 标准 定额 站 总 工程师 	张莉 	、 工程师 王洋 、 中国 有色 金属 工业 工程 建设 定额 站 技术 总监 林发 、 乌海市 建设 工程 标准 定额 管理 站站 长白 继 凡 、 副站长 祝少 冬 、 	北京 天健中宇恒业 工程 咨询 公司 	副总经理 沙兵 等 同志 组成 专家 组 ， 对 乌海 矿区 生态 环境 综合 治理 项目 及 矿区 现状 进行 调研 ； 	图/NN 8/CD ：/PU 现场/NN 损毁/VV 后/LC 的/DEG 挖机/NN 图/NN 9/CD ：/PU 自卸车/NN 正在/AD 运输/VV 燃烧/VV 中/LC 的/DEG 煤矸石/NN 图/NN 10/CD ：/PU 大/JJ 粒径/NN 石块/NN 剥离/VV 图/NN 11/CD ：/PU 机械/NN 坡面/NN 修复/VV 本次/DT 调研/NN 由/P 住房/NN 和/CC 城乡/NN 建设部/NN 标准/NN 定额/JJ 研究所/NN 副研究员/NN 董宇/NR 、/PU 中国/NR 建设/NN 工程/NN 造价/NN 管理/NN 协会/NN 主任/NN 舒宇/NR 、/PU 中国/NR 煤炭/NN 建设/NN 协会/NN 秘书长/NN 单益新/NR 、/PU 煤炭/NN 工业/NN 西安/NR 工程/NN 造价/NN 管理站/NN 副站长/NN 杨振义/NR 、/PU 内蒙古/NR 自治区/NN 建设/NN 工程/NN 标准/NN 定额/VV 总站/NN 站长/NN 庞天/VA 、/PU 定额/JJ 科/NN 科长/NN 刘/NR 银龙/NN 、/PU 山西省/NR 工程/NN 建设/NN 标准/NN 定额/JJ 站/NN 总/JJ 工程师/NN 	张莉/NR 	、/PU 工程师/NN 王洋/NR 、/PU 中国/NR 有色/JJ 金属/NN 工业/NN 工程/NN 建设/NN 定额/JJ 站/NN 技术/NN 总监/NN 林发/NR 、/PU 乌海市/NR 建设/NN 工程/NN 标准/NN 定额/JJ 管理/NN 站站/NR 长白/NR 继/P 凡/AD 、/PU 副站长/NN 祝少/VV 冬/NN 、/PU 	北京/NR 天健中宇恒业/NR 工程/NN 咨询/NN 公司/NN 	副总经理/NN 沙兵/NR 等/ETC 同志/NN 组成/VV 专家/NN 组/VV ，/PU 对/P 乌海/NR 矿区/NN 生态/NN 环境/NN 综合/JJ 治理/NN 项目/NN 及/CC 矿区/NN 现状/NN 进行/VV 调研/NN ；/PU 
利亚德	美的集团	另 据 证券 时报 ， 上周 兆易 创新 （ 603986 ） 、 	利亚德 	（ 300296 ） 、 	美的 集团 	（ 000333 ） 等 获得 超过 50 家 机构 扎堆 调研 	另/AD 据/P 证券/NN 时报/NN ，/PU 上周/NT 兆易/NN 创新/NN （/PU 603986/CD ）/PU 、/PU 	利亚德/NR 	（/PU 300296/CD ）/PU 、/PU 	美的/NR 集团/NN 	（/PU 000333/CD ）/PU 等/ETC 获得/VV 超过/VV 50/CD 家/M 机构/NN 扎堆/VV 调研/VV 
中国企业改革体制研究会	李锦	作为 中国 国有 企业 改革 调查 第一 人 ， 被 胡耀邦 、 邓小平 、 胡锦涛 等 国家 领导人 批示 国企 改革 调研 有 思考 的 	中国 企业 改革 体制 研究会 	副会长 	李锦 	指出 ： 国企 改革 ， 政府 改革 在先 ， 企业 改革 在后 ， 是 相辅相成 的 	作为/P 中国/NR 国有/JJ 企业/NN 改革/NN 调查/VV 第一/OD 人/NN ，/PU 被/LB 胡耀邦/NR 、/PU 邓小平/NR 、/PU 胡锦涛/NR 等/ETC 国家/NN 领导人/NN 批示/VV 国企/NN 改革/NN 调研/VV 有/VE 思考/NN 的/SP 	中国/NR 企业/NN 改革/NN 体制/NN 研究会/NN 	副会长/NN 	李锦/NR 	指出/VV ：/PU 国企/NN 改革/NN ，/PU 政府/NN 改革/NN 在先/VV ，/PU 企业/NN 改革/NN 在后/VV ，/PU 是/VC 相辅相成/VV 的/SP 
中交集团	王海怀	国资委 产权 管理局 局长 贾立克 、 国际 合作局 局长 殷长波 、 规划 发展局 副局长 孟华强 、 中广 核 办公厅 主任 胡光耀 、 铀业 公司 总经理 安军靖 、 斯科 公司 总经理 蔡于胜 、 	中 交 集团 	副总经理 	王海怀 	等一同 参加 调研 和 座谈 	国资委/NN 产权/NN 管理局/NN 局长/NN 贾立克/NR 、/PU 国际/NN 合作局/NN 局长/NN 殷长波/NR 、/PU 规划/NN 发展局/NN 副局长/NN 孟华强/NR 、/PU 中广/NR 核/NN 办公厅/NN 主任/NN 胡光耀/NR 、/PU 铀业/NN 公司/NN 总经理/NN 安军靖/NR 、/PU 斯科/NR 公司/NN 总经理/NN 蔡于胜/NR 、/PU 	中/NR 交/VV 集团/NN 	副总经理/NN 	王海怀/NR 	等一同/NR 参加/VV 调研/NN 和/CC 座谈/NN 
春辉机械制造有限公司	鲁泰	调研组 先后 对 济宁市 中山 公用 水 务 有限 公司 、 济宁 落陵 	春辉 机械 制造 有限 公司 	、 	鲁泰 	控股 凯本 金威 特种 化学品 （ 济宁 ） 有限 公司 进行 了 调研 ， 听取 了 混合 所有制 改革 工作 情况 汇报 、 召开 了 座谈会 ， 对 生产 车间 进行 了 实地 走访 ， 了解 了 基层 干部 群众 的 反映 ， 在 推进 混合 所有制 过程 中 采取 的 措施 ， 取得 的 成效 ， 遇到 的 困难 ， 需要 提请 市 经济 体制 改革 专项 小组 解决 的 问题 等 	调研组/NN 先后/AD 对/P 济宁市/NR 中山/NR 公用/JJ 水/NN 务/VV 有限/JJ 公司/NN 、/PU 济宁/NR 落陵/VV 	春辉/NR 机械/NN 制造/NN 有限/JJ 公司/NN 	、/PU 	鲁泰/NR 	控股/VV 凯本/NR 金威/NN 特种/JJ 化学品/NN （/PU 济宁/NR ）/PU 有限/JJ 公司/NN 进行/VV 了/AS 调研/NN ，/PU 听取/VV 了/AS 混合/NN 所有制/NN 改革/NN 工作/NN 情况/NN 汇报/VV 、/PU 召开/VV 了/AS 座谈会/NN ，/PU 对/P 生产/NN 车间/NN 进行/VV 了/AS 实地/JJ 走访/NN ，/PU 了解/VV 了/AS 基层/NN 干部/NN 群众/NN 的/DEG 反映/NN ，/PU 在/P 推进/VV 混合/NN 所有制/NN 过程/NN 中/LC 采取/VV 的/DEC 措施/NN ，/PU 取得/VV 的/DEC 成效/NN ，/PU 遇到/VV 的/DEC 困难/NN ，/PU 需要/VV 提请/VV 市/NN 经济/NN 体制/NN 改革/NN 专项/NN 小组/NN 解决/VV 的/DEC 问题/NN 等/ETC 
李成	粤海控股集团	为 认真 落实 省委 省政府 关于 打好 污染 防治 攻坚战 的 要求 ， 近日 ， 省 国资委 主任 、 党委 书记 	李成 	， 副主任 、 党委 委员 黄敦新 等 一行 调研 广业 集团 、 建工 集团 、 	粤海 控股 集团 	在 揭阳 、 汕头 地区 的 环保 基础 设施 建设 情况 ， 重点 调研 了 广业 集团 普宁 垃圾 焚烧 发电 项目 、 练 江 流域 整治 环保 工程 项目 	为/P 认真/AD 落实/VV 省委/NN 省政府/NN 关于/P 打好/VV 污染/NN 防治/NN 攻坚战/NN 的/DEG 要求/NN ，/PU 近日/NT ，/PU 省/NN 国资委/NN 主任/NN 、/PU 党委/NN 书记/NN 	李成/NR 	，/PU 副主任/NN 、/PU 党委/NN 委员/NN 黄敦新/NR 等/ETC 一行/NN 调研/VV 广业/NN 集团/NN 、/PU 建工/NR 集团/NN 、/PU 	粤海/NR 控股/NN 集团/NN 	在/P 揭阳/NR 、/PU 汕头/NR 地区/NN 的/DEG 环保/NN 基础/NN 设施/NN 建设/NN 情况/NN ，/PU 重点/AD 调研/VV 了/AS 广业/NN 集团/NN 普宁/NR 垃圾/NN 焚烧/NN 发电/NN 项目/NN 、/PU 练/VV 江/NR 流域/NN 整治/VV 环保/NN 工程/NN 项目/NN 
山东君润企业管理咨询有限公司	马恒艳	3月 25日 ， 省 国资委 综合 评价 组 组长 、 	山东 君润 企业 管理 咨询 有限 公司 	董事长 	马恒艳 	一行 到 东滩矿 调研 指导 工作 	3月/NT 25日/NT ，/PU 省/NN 国资委/NN 综合/JJ 评价/NN 组/NN 组长/NN 、/PU 	山东/NR 君润/NN 企业/NN 管理/NN 咨询/NN 有限/JJ 公司/NN 	董事长/NN 	马恒艳/NR 	一行/NN 到/P 东滩矿/NR 调研/VV 指导/NN 工作/NN 
鲁西集团	张金成	7月 14日 上午 ， 聊城市 国资委 副主任 韩春岐 ， 	鲁西 集团 	党委 书记 、 董事长 	张金成 	等一行 四 人 来 滨州市 国资委 考察 调研 	7月/NT 14日/NT 上午/NT ，/PU 聊城市/NR 国资委/NN 副主任/NN 韩春岐/NR ，/PU 	鲁西/NR 集团/NN 	党委/NN 书记/NN 、/PU 董事长/NN 	张金成/NR 	等一行/NR 四/CD 人/NN 来/VV 滨州市/NR 国资委/NN 考察/NN 调研/VV 
赵荣哲	西安设计公司	6月 18日 至 19日 ， 	赵荣哲 	同志 围绕 “ 双百 行动 ” 以及 财务 、 信息化 建设 等到 	西安 设计 公司 	调研 	6月/NT 18日/NT 至/CC 19日/NT ，/PU 	赵荣哲/NR 	同志/NN 围绕/VV “/PU 双百/JJ 行动/NN ”/PU 以及/CC 财务/NN 、/PU 信息化/NN 建设/NN 等到/VV 	西安/NR 设计/NN 公司/NN 	调研/VV 
中国三峡集团	寇伟	履新 半年 以来 ， 章 建华 已 先后 赴 国家 电网 、 中国 华能 、 	中国 三峡 集团 	等 电网 、 电力 央企 实地 调研 ， 与 	寇伟 	等 一把手 就 相关 问题 展开 了 深入 交流 与 探讨 ， 同时 也 与 陕西 、 广东 、 浙江 等 地方 政府 加强 了 沟通 与 交流 ， 勾勒 了 电力 改革 、 能源 发展 改革 的 新 路径 	履新/NN 半年/NN 以来/LC ，/PU 章/M 建华/NN 已/AD 先后/AD 赴/VV 国家/NN 电网/NN 、/PU 中国/NR 华能/NR 、/PU 	中国/NR 三峡/NR 集团/NN 	等/P 电网/NN 、/PU 电力/NN 央企/NN 实地/AD 调研/VV ，/PU 与/P 	寇伟/NR 	等/P 一把手/NN 就/AD 相关/VV 问题/NN 展开/VV 了/AS 深入/JJ 交流/NN 与/CC 探讨/NN ，/PU 同时/AD 也/AD 与/P 陕西/NR 、/PU 广东/NR 、/PU 浙江/NR 等/ETC 地方/NN 政府/NN 加强/VV 了/AS 沟通/NN 与/CC 交流/NN ，/PU 勾勒/VV 了/AS 电力/NN 改革/NN 、/PU 能源/NN 发展/NN 改革/NN 的/DEG 新/JJ 路径/NN 
